Name,Address,Phone,CarCount,Site
화성직영점,"브랜드 인증관 서울특별시 강남구 헌릉로745길 25 (율현동, 강남자동차매매장에이동) A동 124호, 125호",031-355-5959,144대,케이카
화성직영점,"서울특별시 강남구 헌릉로745길 25 (율현동, 강남자동차매매장에이동) A동 124호, 125호",031-355-5959,144대,케이카
강남직영점,"서울특별시 강남구 헌릉로745길 25 (율현동, 강남자동차매매장에이동) A동 124호, 125호",02-6203-4226,108대,케이카
강서직영점,"경기도 부천시 오정구 송내대로 450 (삼정동, 국민차매매단지) 402호",032-813-5866,237대,케이카
경기서부직영점,"경기도 부천시 원미구 신상로 25 (상동, DY카랜드) 101,102호",032-225-0700,160대,케이카
경인직영점,"인천광역시 서구 염곡로 149 (가좌동, 엠파크랜드) c102호, c103호",032-299-0770,193대,케이카
고양직영점,"경기도 고양시 일산동구 백마로 478 (풍동, 일산풍동오토갤러리) 지하 1층 제엠01호",031-812-0812,111대,케이카
광주수완직영점,광주광역시 광산구 사암로 678 (장덕동) .,062-528-2651,203대,케이카
광주풍암직영점,"광주광역시 서구 회재유통길 78 (매월동) 엠플러스 B동(209호, 211호, 212호, 213호)",062-449-1114,135대,케이카
구미직영점,경상북도 구미시 금오대로 363 (오태동),054-465-9245,134대,케이카
김포직영점,경기도김포시김포대로1523-1 (장기동) 2동,031-997-3100,169대,케이카
김포공항직영점,경기도 김포시 고촌읍 아라육로152번길 45 (전호리) A동 101호,031-990-3190,172대,케이카
K Car 대구직영점,"대구광역시 동구 안심로 435 (신서동, 대유자동차)",053-963-1750,107대,케이카
대구반야월직영점,대구광역시 동구 안심로 295 (동호동),053-961-0830,128대,케이카
대전직영점,"대전광역시 대덕구 아리랑로 79 (읍내동, KCar)",042-635-9500,232대,케이카
대전유성직영점,"대전광역시 유성구 복용동로 35 (복용동, 디오토몰) , 1층 116호",042-385-4511,171대,케이카
부산직영점,"부산광역시 기장군 장안읍 반룡산단3로 95 (반룡리, 경동오토필드) 216호",051-512-8030,104대,케이카
분당용인직영점,경기용인시 기흥구보정동 1266-1 리베로3빌딩 7층,031-889-6500,367대,케이카
서대구직영점,대구광역시 달서구 성서공단로54길 8 (월암동) 1층,053-267-0745,118대,케이카
서부산직영점,부산광역시 사하구 을숙도대로 556 (신평동) C동2층(신평동),051-326-0925,190대,케이카
서초직영점,서울서초구양재2동 217번지 서울오토갤러리 은관 210호,02-2059-8902,213대,케이카
세종공주직영점,충청남도 공주시 무령로 646 (송선동) .,041-960-9777,230대,케이카
수원직영점,경기도수원시 권선구세화로123,031-293-3550,209대,케이카
수원신갈직영점,"경기도 용인시 기흥구 중부대로 242 (영덕동, NS오토허브) A동 3층 N304~N307호",031-304-0707,176대,케이카
시흥직영점,"경기도 시흥시 산기대학로 163 (정왕동) (정왕동,라성자동차매매단지)4층",031-8044-0013,159대,케이카
아산직영점,"충청남도 아산시 배방읍 동방1로 11 (휴대리) 204호, 205호, 206호, 207호, 208호, 219호, 220호(C-오토몰)",041-547-2023,181대,케이카
안산직영점,"경기도 안산시 단원구 원포공원1로 16 (초지동, 경기자동차매매단지) 207호",031-509-0509,155대,케이카
안성직영점,경기도 안성시 대덕면 서동대로 4701 (신령리) 롯데캐슬센트럴시티아파트 앞,031-8052-7767,310대,케이카
안양직영점,경기도 안양시 만안구 박달로 380 (박달동) 1층,031-466-7133,304대,케이카
양산직영점,경상남도 양산시 동면 석산1길 14 (석산리),055-364-6090,118대,케이카
영등포직영점,서울영등포구양평동3가 96-1 청우오토프라자 2층,02-2068-0655,418대,케이카
오산동탄직영점,경기도 오산시 현충로 95 (은계동) A동,031-378-2930,274대,케이카
용인직영점,"경기도 용인시 처인구 모현읍 백옥대로 2103 (초부리, ASE)",031-890-0789,169대,케이카
울산직영점,울산광역시 북구 무룡로 68 (연암동) 국민차매매단지 3층 326호,052-930-3377,197대,케이카
원주직영점,강원도 원주시 강변로 667 (학성동),033-900-0905,212대,케이카
의정부직영점,경기도 의정부시 체육로 101 (녹양동) 3층,031-826-0321,164대,케이카
인천직영점,"인천광역시 서구 봉수대로 158 (가좌동, 엠파크타워) 지하1층 D21~24호",032-581-0341,177대,케이카
일산직영점,경기도 고양시 일산서구 경의로 812 (덕이동),031-911-5845,161대,케이카
장한평직영점,"서울특별시 성동구 자동차시장1길 96 (용답동, CarSeoul.com) CARSEOUL닷컴 5층",02-2210-8330,184대,케이카
전주직영점,전라북도전주시 덕진구추천로443-1 (팔복동4가),063-214-9281,252대,케이카
제주직영점,제주특별자치도 제주시 화남로 8 (화북일동) 107호,064-900-1016,,케이카
창원마산직영점,"경상남도 창원시 마산회원구 무역로 22 (양덕동, 모터스밸리) 모터스밸리 3층 317/318호",055-604-2200,89대,케이카
천안직영점,충청남도천안시 동남구천안천변길5,041-574-3637,180대,케이카
청주직영점,충청북도청주시 청원구발산로2 (주중동) A동 201호,043-218-7902,115대,케이카
포천직영점,경기도 포천시 소흘읍 윗용상길 3 (이동교리),031-8080-2255,199대,케이카
포항직영점,경상북도 포항시 남구 인덕로 67 (인덕동),054-612-2770,97대,케이카
해운대직영점,"부산광역시 해운대구 반송로513번길 10 (석대동) 207, 211, 212, 213, 215호",051-928-0928,142대,케이카
화곡직영점,"경기도 부천시 오정구 봉오대로556번길 21 (고강동, 부천고강동자동차매매센터) B103호",032-678-0551,443대,케이카
화성직영점,경기도 화성시 남양읍 화성로 983 (남양리),031-355-5959,144대,케이카
