직영점명,주소1,주소2,전화번호,차량대수,위경도,
강남직영점,"서울특별시 강남구 헌릉로745길 25 (율현동, 강남자동차매매장에이동)","A동 124호, 125호",02-6203-4226,105,"37.469398, 127.118811",
강서직영점,"경기도 부천시 오정구 송내대로 450 (삼정동, 국민차매매단지)",402호,032-813-5866,236,"37.523473, 126.761987",
경기서부직영점,"경기도 부천시 원미구 신상로 25 (상동, DY카랜드)","101,102호",032-225-0700,160,"37.490622, 126.747444",
경인직영점,"인천광역시 서구 염곡로 149 (가좌동, 엠파크랜드)","c102호, c103호",032-299-0770,197,"37.497294, 126.666424",
고양직영점,"경기도 고양시 일산동구 백마로 478 (풍동, 일산풍동오토갤러리)",지하 1층 제엠01호,031-812-0812,127,"37.661629, 126.801555",
광주수완직영점,광주광역시 광산구 사암로 678 (장덕동),,062-528-2651,204,"35.107878, 126.880950",
광주풍암직영점,광주광역시 서구 회재유통길 78 (매월동),"엠플러스 B동(209호, 211호, 212호, 213호)",062-449-1114,131,"35.114099, 126.854550",
구미직영점,경상북도 구미시 금오대로 363 (오태동),,054-465-9245,144,"36.077175, 128.350857",
김포직영점,경기도 김포시 김포대로 1523-1 (장기동),2동,031-997-3100,177,"37.659152, 126.665430",
김포공항직영점,경기도 김포시 고촌읍 아라육로152번길 45 (전호리),A동 101호,031-990-3190,185,"37.595999, 126.783685",
대구직영점,"대구광역시 동구 안심로 435 (신서동, 대유자동차)",K Car 대구직영점,053-963-1750,112,"35.871195, 128.731312",
대구반야월직영점,대구광역시 동구 안심로 295 (동호동),,053-961-0830,147,"35.866616, 128.717152",
대전직영점,"대전광역시 대덕구 아리랑로 79 (읍내동, KCar)",,042-635-9500,238,"36.376939, 127.413683",
대전유성직영점,"대전광역시 유성구 복용동로 35 (복용동, 디오토몰)",", 1층 116호",042-385-4511,178,"36.338105, 127.319411",
부산직영점,"부산광역시 기장군 장안읍 반룡산단3로 95 (반룡리, 경동오토필드)",216호,051-512-8030,116,"35.336835, 129.257712",
분당용인직영점,경기용인시 기흥구 보정동 1266-1,리베로3빌딩 7층,031-889-6500,376,"37.320058, 127.114362",
서대구직영점,대구광역시 달서구 성서공단로54길 8 (월암동),1층,053-267-0745,114,"35.835041, 128.511389",
서부산직영점,부산광역시 사하구 을숙도대로 556 (신평동),C동2층(신평동),051-326-0925,184,"35.088273, 128.975360",
서초직영점,서울 서초구 양재2동 217번지, 서울오토갤러리 은관 210호,02-2059-8902,205,"37.462054, 127.035287",
세종공주직영점,충청남도 공주시 무령로 646 (송선동),,041-960-9777,236,"36.479784, 127.156261",
수원직영점,경기도 수원시 권선구 세화로 123,,031-293-3550,219,"37.263262, 126.994528",
수원신갈직영점,"경기도 용인시 기흥구 중부대로 242 (영덕동, NS오토허브)",A동 3층 N304~N307호,031-304-0707,190,"37.268573, 127.092077",
시흥직영점,경기도 시흥시 산기대학로 163 (정왕동),"(정왕동,라성자동차매매단지)4층",031-8044-0013,156,"37.344346, 126.726140",
아산직영점,충청남도 아산시 배방읍 동방1로 11 (휴대리),"204호, 205호, 206호, 207호, 208호, 219호, 220호(C-오토몰)",041-547-2023,185,"36.785490, 127.109584",
안산직영점,"경기도 안산시 단원구 원포공원1로 16 (초지동, 경기자동차매매단지)",207호,031-509-0509,160,"37.299748, 126.813160",
안성직영점,경기도 안성시 대덕면 서동대로 4701 (신령리),롯데캐슬센트럴시티아파트 앞,031-8052-7767,310,"37.012869, 127.223937",
안양직영점,경기도 안양시 만안구 박달로 380 (박달동),1층,031-466-7133,293,"37.402980, 126.895271",
양산직영점,경상남도 양산시 동면 석산1길 14 (석산리),,055-364-6090,120,"35.311641, 129.029312",
영등포직영점,서울 영등포구 양평동3가 96-1,청우오토프라자 2층,02-2068-0655,428,"37.534062, 126.892338",
오산동탄직영점,경기도 오산시 현충로 95 (은계동),A동,031-378-2930,275,"37.161109, 127.077520",
용인직영점,"경기도 용인시 처인구 모현읍 백옥대로 2103 (초부리, ASE)",,031-890-0789,169,"37.313413, 127.239459",
울산직영점,울산광역시 북구 무룡로 68 (연암동),국민차매매단지 3층 326호,052-930-3377,203,"35.580413, 129.367608",
원주직영점,강원도 원주시 강변로 667 (학성동),,033-900-0905,215,"37.363432, 127.948924",
의정부직영점,경기도 의정부시 체육로 101 (녹양동),3층,031-826-0321,174,"37.762692, 127.028908",
홈서비스 메가센터,경기도 이천시 마장면 중부대로644번길 293 (표교리),,031-634-8500,211,"37.252841, 127.404120",
인천직영점,"인천광역시 서구 봉수대로 158 (가좌동, 엠파크타워)",지하1층 D21~24호,032-581-0341,182,"37.489893, 126.661851",
일산직영점,경기도 고양시 일산서구 경의로 812 (덕이동),,031-911-5845,161,"37.690008, 126.760081",
장한평직영점,"서울특별시 성동구 자동차시장1길 96 (용답동, CarSeoul.com)",CARSEOUL닷컴 5층,02-2210-8330,185,"37.560111, 127.068331",
전주직영점,전라북도전주시 덕진구추천로443-1 (팔복동4가),,063-214-9281,249,"35.868953, 127.102646",
제주직영점,제주특별자치도 제주시 화남로 8 (화북일동),107호,064-900-1016,0,"33.517449, 126.562630",
창원마산직영점,"경상남도 창원시 마산회원구 무역로 22 (양덕동, 모터스밸리)",모터스밸리 3층 317/318호,055-604-2200,93,"35.210384, 128.588274",
천안직영점,충청남도 천안시 동남구 천안천변길5,,041-574-3637,182,"36.784321, 127.114184",
청주직영점,충청북도 청주시 청원구발산로2 (주중동),A동 201호,043-218-7902,131,"36.679943, 127.482493",
포천직영점,경기도 포천시 소흘읍 윗용상길 3 (이동교리),,031-8080-2255,207,"37.809150, 127.132313",
포항직영점,경상북도 포항시 남구 인덕로 67 (인덕동),,054-612-2770,106,"35.991105, 129.396314",
해운대직영점,부산광역시 해운대구 반송로513번길 10 (석대동),"207, 211, 212, 213, 215호",051-928-0928,145,"35.218534, 129.119524",
화곡직영점,"경기도 부천시 오정구 봉오대로556번길 21 (고강동, 부천고강동자동차매매센터)",B103호,032-678-0551,453,"37.538691, 126.821577",
화성직영점,경기도 화성시 남양읍 화성로 983 (남양리),,031-355-5959,145,"37.199574, 126.798840",
